case_id,cycle_time_days
1,21.1
2,7.9
3,12.3
4,12.9
5,13.9
6,15.9
7,23.0
8,24.0
9,16.5
10,16.7
11,14.5
12,18.4
13,19.0
14,22.0
15,22.0
16,6.5
17,17.2
18,24.9
19,15.8
20,23.7
21,16.5
22,18.9
23,12.3
24,12.5
25,21.6
26,22.4
27,18.1
28,11.9
29,18.2
30,24.3
31,26.7
32,16.4
33,9.7
34,22.2
35,16.6
36,22.7
37,19.4
38,13.6
39,18.3
40,24.5
41,17.3
42,12.8
43,10.1
44,14.1
45,15.9
46,22.1
47,12.4
48,25.8
49,11.3
50,29.7
51,26.6
52,18.7
53,9.8
54,17.7
55,16.1
56,11.6
57,19.5
58,13.9
59,14.4
60,17.0
61,15.1
62,28.4
63,15.3
64,20.2
65,18.7
66,19.8
67,20.1
68,22.4
69,19.3
70,19.1
71,18.3
72,17.3
73,13.4
74,17.7
75,19.2
76,20.0
77,18.9
78,16.8
79,17.7
80,15.2
81,19.6
82,16.9
83,18.9
84,23.0
85,14.5
86,21.0
87,18.2
88,28.1
89,16.9
90,21.5
91,18.1
92,11.1
93,15.4
94,22.4
95,15.8
96,6.9
97,17.8
98,12.5
99,18.7
100,25.8
101,21.8
102,25.7
103,15.2
104,17.3
105,12.8
106,14.6
107,13.4
108,11.5
109,24.8
110,7.5
111,24.9
112,24.2
113,20.5
114,12.4
115,10.1
116,15.3
117,21.1
118,18.0
119,12.8
120,23.7
121,26.4
122,16.9
123,18.5
124,10.5
125,15.9
126,20.6
127,19.8
128,15.5
129,16.6
130,15.8
131,16.6
132,20.1
133,8.2
134,17.6
135,19.7
136,15.1
137,15.6
138,15.7
139,15.6
140,18.0
141,18.6
142,7.5
143,21.3
144,16.6
145,27.7
146,12.0
147,13.7
148,17.0
149,20.1
150,8.2
151,13.9
152,21.0
153,13.3
154,24.9
155,15.7
156,13.5
157,21.1
158,26.0
159,20.1
160,24.3
161,26.4
162,13.4
163,22.7
164,10.4
165,20.1
166,17.6
167,24.2
168,23.9
169,20.8
170,19.5
171,20.5
172,18.3
173,17.7
174,25.2
175,25.8
176,17.3
177,19.2
178,18.4
179,9.9
180,16.3
181,26.0
182,14.3
183,28.6
184,23.9
185,20.0
186,20.8
187,13.4
188,16.7
189,25.2
190,14.9
191,23.3
192,11.1
193,12.0
194,27.5
195,17.9
196,15.3
197,24.8
198,24.2
199,22.6
200,15.2
201,16.6
202,19.6
203,21.5
204,15.5
205,18.9
206,19.3
207,24.4
208,21.8
209,10.5
210,16.9
211,13.4
212,20.8
213,22.6
214,18.5
215,16.7
216,18.3
217,19.0
218,14.8
219,11.9
220,7.7
221,24.3
222,20.5
223,19.8
224,24.3
225,11.7
226,9.3
227,19.9
228,19.5
229,9.3
230,19.8
231,16.0
232,14.0
233,16.3
234,5.8
235,15.0
236,14.5
237,20.8
238,17.2
239,21.2
240,5.3
241,13.8
242,20.8
243,16.5
244,22.2
245,9.0
246,21.7
247,14.8
248,14.3
249,23.0
250,23.8
251,23.2
252,28.2
253,24.3
254,14.0
255,18.7
256,16.2
257,28.1
258,23.5
259,17.1
260,22.4
261,11.8
262,19.3
263,13.3
264,9.6
265,21.9
266,22.5
267,20.3
268,17.1
269,11.7
270,12.2
271,13.2
272,16.8
273,23.4
274,23.3
275,9.8
276,14.5
277,14.4
278,5.3
279,20.8
280,16.8
281,17.4
282,24.7
283,18.4
284,15.8
285,20.9
